pcap,frame,time,cmd_frame,session,cmd_dest,cmd_total_len,payload_len,video_type,data_len,sequence,hint,width_field,height_field,canvas_width,canvas_height,start_addr,end_addr,image_format,jpeg_soi_offset,jpeg_width,jpeg_height,vram_span
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,516,0.244452000,514,0,53463008,12256,12256,7,12208,7998,6,64,544,1920,1920,48,2089008,13,48,64,544,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,580,0.936751000,578,0,54712192,12256,12256,7,12208,8001,6,64,544,1920,1920,12932496,15021456,13,48,64,544,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,640,1.003025000,638,0,55778048,12256,12256,7,12208,8005,6,64,544,1920,1920,25864944,27953904,13,48,64,544,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,685,1.037105000,683,0,55993024,4064,4064,7,4016,8007,6,64,96,1920,1920,25864944,27953904,13,48,64,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,689,1.038003000,687,0,55997088,74720,74720,7,74672,8008,6,1824,96,1920,1920,25865040,27954000,13,48,1824,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,695,1.038692000,693,0,56071808,21472,21472,7,21424,8009,6,64,1016,1920,1920,25987824,28015344,13,48,64,1016,2027520
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,782,1.069643000,780,0,56402496,4064,4064,7,4016,8011,6,64,96,1920,1920,25864944,27953904,13,48,64,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,786,1.070368000,784,0,56406560,74720,74720,7,74672,8012,6,1824,96,1920,1920,25865040,27954000,13,48,1824,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,790,1.071083000,788,0,56481280,11232,11232,7,11184,8013,6,64,480,1920,1920,25987824,28015344,13,48,64,480,2027520
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,861,1.103328000,859,0,56805792,74720,74720,7,74672,8016,6,1824,96,1920,1920,25865040,27954000,13,48,1824,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,868,1.103988000,866,0,56880512,11232,11232,7,11184,8017,6,64,480,1920,1920,25987824,28015344,13,48,64,480,2027520
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1013,1.169839000,1011,0,57712896,12256,12256,7,12208,8021,6,64,544,1920,1920,25864944,27953904,13,48,64,544,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1105,1.203206000,1103,0,58070208,12256,12256,7,12208,8023,6,64,544,1920,1920,25864944,27953904,13,48,64,544,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1133,1.236662000,1131,0,58285184,12256,12256,7,12208,8025,6,64,544,1920,1920,25864944,27953904,13,48,64,544,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1169,1.271958000,1167,0,58606656,4064,4064,7,4016,8027,6,64,96,1920,1920,25864944,27953904,13,48,64,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1173,1.272127000,1171,0,58610720,4064,4064,7,4016,8028,6,64,96,1920,1920,25866800,27955760,13,48,64,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1177,1.272309000,1175,0,58614784,11232,11232,7,11184,8029,6,64,480,1920,1920,25987824,28015344,13,48,64,480,2027520
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1213,1.304046000,1211,0,58936256,4064,4064,7,4016,8031,6,64,96,1920,1920,25864944,27953904,13,48,64,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1217,1.304219000,1215,0,58940320,6112,6112,7,6064,8032,6,96,96,1920,1920,25866768,27955728,13,48,96,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1221,1.304429000,1219,0,58946432,11232,11232,7,11184,8033,6,64,480,1920,1920,25987824,28015344,13,48,64,480,2027520
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1257,1.336839000,1255,0,59267904,12256,12256,7,12208,8035,6,64,544,1920,1920,25864944,27953904,13,48,64,544,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1289,1.371813000,1287,0,59489024,4064,4064,7,4016,8037,6,64,96,1920,1920,25864944,27953904,13,48,64,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1297,1.372591000,1295,0,59493088,74720,74720,7,74672,8038,6,1824,96,1920,1920,25865040,27954000,13,48,1824,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1301,1.373221000,1299,0,59567808,11232,11232,7,11184,8039,6,64,480,1920,1920,25987824,28015344,13,48,64,480,2027520
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1335,1.403013000,1333,0,59887232,4064,4064,7,4016,8041,6,64,96,1920,1920,25864944,27953904,13,48,64,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1339,1.403186000,1337,0,59891296,5088,5088,7,5040,8042,6,64,96,1920,1920,25866768,27955728,13,48,64,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1343,1.403342000,1341,0,59896384,11232,11232,7,11184,8043,6,64,480,1920,1920,25987824,28015344,13,48,64,480,2027520
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1381,1.436062000,1377,0,60217856,6112,6112,7,6064,8045,6,96,96,1920,1920,25866768,27955728,13,48,96,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1393,1.453551000,1391,0,60223968,77792,77792,7,77744,8046,6,1888,96,1920,1920,25864976,27953936,13,48,1888,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1405,1.468921000,1403,0,60301760,6112,6112,7,6064,8047,6,96,96,1920,1920,25866768,27955728,13,48,96,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1417,1.487392000,1415,0,60307872,77792,77792,7,77744,8048,6,1888,96,1920,1920,25864976,27953936,13,48,1888,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1427,1.502582000,1425,0,60385664,6112,6112,7,6064,8049,6,96,96,1920,1920,25866768,27955728,13,48,96,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1439,1.520026000,1437,0,60391776,77792,77792,7,77744,8050,6,1888,96,1920,1920,25864976,27953936,13,48,1888,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1449,1.535844000,1447,0,60469568,6112,6112,7,6064,8051,6,96,96,1920,1920,25866768,27955728,13,48,96,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1461,1.553478000,1459,0,60475680,77792,77792,7,77744,8052,6,1888,96,1920,1920,25864976,27953936,13,48,1888,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1473,1.568927000,1471,0,60553472,6112,6112,7,6064,8053,6,96,96,1920,1920,25866768,27955728,13,48,96,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1483,1.586187000,1481,0,60559584,77792,77792,7,77744,8054,6,1888,96,1920,1920,25864976,27953936,13,48,1888,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1495,1.601972000,1493,0,60637376,6112,6112,7,6064,8055,6,96,96,1920,1920,25866768,27955728,13,48,96,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1507,1.620853000,1505,0,60643488,77792,77792,7,77744,8056,6,1888,96,1920,1920,25864976,27953936,13,48,1888,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1517,1.635628000,1515,0,60721280,6112,6112,7,6064,8057,6,96,96,1920,1920,25866768,27955728,13,48,96,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1529,1.653849000,1527,0,60727392,77792,77792,7,77744,8058,6,1888,96,1920,1920,25864976,27953936,13,48,1888,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1547,1.687249000,1545,0,52428800,77792,77792,7,77744,8059,6,1888,96,1920,1920,25864976,27953936,13,48,1888,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1557,1.702213000,1555,0,52506592,6112,6112,7,6064,8060,6,96,96,1920,1920,25866768,27955728,13,48,96,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1569,1.719515000,1567,0,52512704,77792,77792,7,77744,8061,6,1888,96,1920,1920,25864976,27953936,13,48,1888,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1579,1.735278000,1577,0,52590496,6112,6112,7,6064,8062,6,96,96,1920,1920,25866768,27955728,13,48,96,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,1663,1.835326000,1661,0,53631840,6112,6112,7,6064,8064,6,96,96,1920,1920,1872,2090832,13,48,96,96,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,4299,6.037028000,4297,0,59508256,5088,5088,7,5040,8074,6,256,32,1920,1920,25864944,27953904,13,48,256,32,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,4303,6.037351000,4301,0,59513344,23520,23520,7,23472,8075,6,64,1080,1920,1920,25864944,27953904,13,48,64,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,5136,8.219089000,5134,0,54814592,3040,3040,7,2992,8082,6,64,64,1920,1920,25864944,27953904,13,48,64,64,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,5142,8.237464000,5140,0,54817632,44000,44000,7,43952,8083,6,1248,64,1920,1920,25864944,27953904,13,48,1248,64,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,5148,8.253572000,5146,0,54861632,3040,3040,7,2992,8084,6,64,64,1920,1920,25864944,27953904,13,48,64,64,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,7447,16.701007000,7445,0,58349184,67552,67552,3,67504,8090,6,1920,1920,,,48,2089008,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,7451,16.701608000,7449,0,58416736,67552,67552,3,67504,8091,6,1920,1920,,,12932496,15021456,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,7455,16.702195000,7453,0,58484288,67552,67552,3,67504,8092,6,1920,1920,,,25864944,27953904,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,7572,16.859816000,7570,0,59441664,67552,67552,3,67504,8094,6,1920,1920,,,12932496,15021456,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,7576,16.863844000,7574,0,59509216,67552,67552,3,67504,8095,6,1920,1920,,,25864944,27953904,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,7606,16.920658000,7604,0,59576768,83936,83936,3,83888,8096,6,1920,1920,,,48,2089008,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,7622,16.957672000,7620,0,59660704,67552,67552,3,67504,8097,6,1920,1920,,,12932496,15021456,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,7628,16.961432000,7626,0,59728256,67552,67552,3,67504,8098,6,1920,1920,,,25864944,27953904,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,7654,17.017207000,7652,0,59795808,83936,83936,3,83888,8099,6,1920,1920,,,48,2089008,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,7662,17.026136000,7660,0,59879744,67552,67552,3,67504,8100,6,1920,1920,,,12932496,15021456,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,7676,17.043071000,7674,0,59947296,67552,67552,3,67504,8101,6,1920,1920,,,25864944,27953904,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,7686,17.057886000,7684,0,60014848,67552,67552,3,67504,8102,6,1920,1920,,,48,2089008,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,7710,17.110619000,7708,0,60082400,67552,67552,3,67504,8103,6,1920,1920,,,12932496,15021456,13,48,1920,1080,2088960
2026-06-19_jua365_win_02_hdmi1_hotplug.pcapng,7746,17.211889000,7744,0,60149952,67552,67552,3,67504,8104,6,1920,1920,,,25864944,27953904,13,48,1920,1080,2088960
